,Unnamed: 0,Name,language,genra,chapters,type,status,authors,published,score,views
10993,10993,The Professor Who Reads Romance Novels,EN,"Psychological,Romance,School",Chap 26,Manhwa,Finished,,?,,1720
10994,10994,The Professor's Double Life,EN,"Comedy,Drama,Romance",Chap 38,Manhwa,Finished,,?,,2102
10995,10995,The Promise,EN,"Drama,Romance,ShounenAi",Chap 10,Manhua,Publishing,,?,,292
10996,10996,The Promised Neverland,EN/FR/JA,"Horror,Mystery,Sci-Fi",Chap 181,Manga,Finished,"Demizu,Posuka(Art),Shirai,Kaiu(Story)","Aug1,2016toJun15,2020",8.26,264322
10997,10997,"The Pseudonym of ""Ryuma""",EN,"Drama,Fantasy,Seinen",Chap 45,Manga,Finished,"Miyashita,Hiroki","Sep30,2011toDec29,2016",7.09,1381
10998,10998,The Purple Heart,EN,,Chap 26,Manhwa,Finished,,?,,38
10999,10999,The Queen of Healing Doctors,EN,"Drama,Historical,Romance",Chap 8,Manhua,Publishing,,?,,166
11000,11000,The Queen of the Opera,EN/JA,"Action,Military",Chap 50.5,Manga,Publishing,"Shina,Yoshinao(Art),Zen,Carlo","Jun29,2018to?",7.29,2386
11001,11001,"The Queen's Flower, The Flower of the Queen",EN/JA,"Adventure,Historical,Romance",Chap 42,Manga,Publishing,"Izumi,Kaneyoshi(Story&Art)","Oct13,2007toDec13,2016",7.77,1007
11002,11002,The Queens,EN,"Action,Adventure,Drama",Chap 21,Manhwa,Publishing,,?,,814
11003,11003,The Quintessential Quintuplets,EN/FR/JA,"Comedy,Harem,Romance",Chap 122,Manga,Finished,"Haruba,Negi(Story&Art)","Aug9,2017toFeb19,2020",7.97,70985
11004,11004,The Quintessential Quintuplets (Colored Edition),EN/JA,"Comedy,Harem,Romance",Chap 122,Manga,Publishing,s:ShounenMagazine(Weekly),"Aug9,2017to?",,121301
11005,11005,The Qwaser of Stigmata,EN/FR/JA,"Action,Ecchi,Harem",Chap 118,Manga,Publishing,"Satou,Kenetsu,Yoshino,Hiroyuki","Aug19,2006toJul19,2016",7.05,8493
11006,11006,The Ragweed Princess from the Empire of Livitium,EN,"Adventure,Magic",Chap 4,Manga,Publishing,,?,,447
11007,11007,The Rain of Teardrops and Serenade,EN,"Historical,Josei,Romance",Chap 58,Manga,Publishing,"Kawachi,Haruka","Nov25,2014to?",7.49,1540
11008,11008,The Rain Spirit That Will Disappear in 30 Days,EN,"Comedy,SliceofLife,Supernatural",Chap 31,Manga,Finished,,?,,630
11009,11009,The Ravages of Time,EN,"Action,Adventure,Historical",Chap 607,Manhua,Publishing,"Chen,Mou(Story&Art)","Jun15,2001to?",8.17,8912
11010,11010,The Real Daughter Is Back,EN,"Drama,Fantasy,Romance",Chap 43,Manhwa,Publishing,,?,,4333
11011,11011,"The Real Other World I Logged Out From There, Not a VRMMO ~My Status Still Broken Even After Returning to Real World~",EN/JA,"Action,Adventure,Comedy",Chap 11,Manga,Publishing,,?,,4268
11012,11012,The Reality of Coeducational Highschool,EN/JA,"Comedy,School,Seinen",Chap 91,Manga,Finished,"Itami,Sumihito(Art),Sanui,Yuu(Story)","Jan27,2012toJun27,2017",6.88,2871
11013,11013,The Rebirth of an 8th-Circled Wizard,EN,"Action,Drama,Fantasy",Chap 147,Manhwa,Publishing,,?,,35709
